Text Asli,absolutely,ac,access,ada,air,akan,anak,and,bad,bau,bed,beraktivitas,bersih,bervariasi,biasa,bintang,bit,bocor,breakfast,buffet,business,calls,cepat,check,city,club,cocok,comfortably,concierge,connection,cukup,dalam,dan,debu,dengan,di,dim,diperhatikan,ditawarkan,dua,easy,enough,even,exceptional,experience,fasilitas,fast,fi,finish,for,from,handuknya,hangatnya,harga,harganya,healthy,heart,hotel,in,informatif,is,jadi,judes,juga,kali,kamar,kamarnya,karpet,kasar,kebersihan,kecewa,keluarga,kembali,kids,kolam,komplain,kurang,lagi,lama,lembap,liburan,lighting,like,lima,location,lokal,looked,lots,luar,luas,lumayan,mahal,mandi,masih,meja,memakan,membasahi,memberikan,membuat,menenangkan,menetes,menginap,menu,menyala,meskipun,mulus,nakas,non,not,of,options,out,panas,pasti,pelayanan,pelayanannya,pengalaman,perbaikan,perfect,place,proses,public,quick,ramah,rasanya,rekomendasi,renang,renangnya,requested,resepsionis,right,room,ruangan,saat,sabar,saja,sama,sangat,sarapannya,saya,sayang,seharian,sekali,senang,seperti,setelah,sheets,smelled,smoke,smoking,specifically,stable,staf,stained,standar,start,stay,sudah,tapi,tempat,terasa,terlihat,terrible,the,though,tidak,to,too,transport,trip,untuk,video,waktu,wanginya,was,wi,wisata,with,work,yang
"Pengalaman menginap yang sangat luar biasa. Kamarnya luas, bersih, dan wanginya sangat menenangkan setelah seharian beraktivitas di luar. Pasti akan kembali lagi!",0.0,0.0,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.22060129729506944,0.1875312568305906,0.0,0.1875312568305906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1075340821361173,0.0,0.0,0.1458679331304229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875312568305906,0.0,0.0,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4412025945901389,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22060129729506944,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2368500067492606,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22060129729506944,0.0,0.0,0.0,0.0,0.0,0.16406768971559338
"Sangat kecewa dengan pelayanannya. Saat check-in resepsionis terlihat judes, dan air panas di kamar mandi sama sekali tidak menyala meskipun sudah komplain dua kali.",0.0,0.0,0.0,0.0,0.18692327063486058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18692327063486058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10718545098729329,0.0,0.18692327063486058,0.14539502162094006,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635357736382511,0.0,0.0,0.0,0.21988609628920885,0.0,0.21988609628920885,0.18692327063486058,0.0,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21988609628920885,0.21988609628920885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.21988609628920885,0.11804106328646621,0.0,0.0,0.0,0.0,0.1635357736382511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18692327063486058,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.21988609628920885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fasilitas hotel cukup standar untuk harga yang ditawarkan. Kolam renangnya lumayan bersih, tapi menu sarapannya kurang bervariasi dan rasanya biasa saja.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044135791688329,0.24046071845030734,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.11721473520510915,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.0,0.0,0.0,0.0,0.0,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.0,0.0,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044135791688329,0.0,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.0,0.24046071845030734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.0,0.24046071845030734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24046071845030734,0.0,0.0,0.0,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044135791688329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17883772682770824
"The location is absolutely perfect, right in the heart of the city with easy access to public transport. The breakfast buffet was exceptional with lots of healthy options.",0.16741458967614858,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16741458967614858,0.16741458967614858,0.0,0.0,0.0,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16741458967614858,0.0,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16741458967614858,0.16741458967614858,0.0,0.12451116693167169,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16741458967614858,0.0,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33482917935229717,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16741458967614858,0.0,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49804466772668676,0.0,0.0,0.12451116693167169,0.0,0.16741458967614858,0.0,0.0,0.0,0.0,0.0,0.14231769621804244,0.0,0.0,0.33482917935229717,0.0,0.0
"Terrible experience from start to finish. The room smelled like smoke even though I specifically requested a non-smoking room, and the bed sheets looked stained.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17315804262552706,0.0,0.0,0.2036934508191015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036934508191015,0.0,0.2036934508191015,0.0,0.0,0.0,0.2036934508191015,0.0,0.2036934508191015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036934508191015,0.0,0.0,0.0,0.2036934508191015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036934508191015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036934508191015,0.0,0.0,0.3463160852510541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036934508191015,0.2036934508191015,0.2036934508191015,0.2036934508191015,0.2036934508191015,0.0,0.0,0.2036934508191015,0.0,0.2036934508191015,0.0,0.0,0.0,0.0,0.0,0.0,0.2036934508191015,0.30298565145232054,0.17315804262552706,0.0,0.15149282572616027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hotel yang sangat cocok untuk liburan keluarga. Anak-anak sangat senang dengan fasilitas kids club dan kolam renang air hangatnya. Staf hotel juga sangat ramah dan sabar.,0.0,0.0,0.0,0.0,0.16656785091322726,0.0,0.3918822346751925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.19594111733759625,0.0,0.0,0.0,0.0,0.0,0.1910265122098591,0.0,0.16656785091322726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16656785091322726,0.0,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.0,0.0,0.0,0.0,0.3331357018264545,0.0,0.0,0.0,0.0,0.0,0.16656785091322726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.0,0.19594111733759625,0.16656785091322726,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.0,0.0,0.19594111733759625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.0,0.0,0.3155601680469215,0.0,0.0,0.0,0.0,0.0,0.19594111733759625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16656785091322726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16656785091322726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1457271867212629
"Sayang sekali AC di kamar saya bocor dan menetes membasahi karpet, membuat ruangan jadi bau lembap. Proses perbaikan juga memakan waktu sangat lama.",0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11145177890237444,0.0,0.0,0.1511822141339312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.0,0.19436342188805925,0.0,0.19436342188805925,0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19436342188805925,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.22863827470611067,0.0,0.22863827470611067,0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.0,0.0,0.19436342188805925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.12273947971132795,0.0,0.22863827470611067,0.19436342188805925,0.0,0.17004502680424255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22863827470611067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Not a bad place to stay for a quick business trip. Wi-Fi connection was stable and fast enough for video calls, though the room lighting was a bit too dim to work comfortably.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14837753891183011,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.17454305019119348,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.17454305019119348,0.17454305019119348,0.0,0.34908610038238697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14837753891183011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.17454305019119348,0.0,0.0,0.0,0.0,0.0,0.0,0.12981281321513796,0.14837753891183011,0.0,0.2596256264302759,0.17454305019119348,0.0,0.17454305019119348,0.0,0.17454305019119348,0.0,0.0,0.29675507782366023,0.17454305019119348,0.0,0.0,0.17454305019119348,0.0
Harganya lumayan mahal tapi sayang sekali kebersihan kamarnya kurang diperhatikan. Masih ada debu di meja nakas dan handuknya terasa kasar seperti sudah sangat lama.,0.0,0.0,0.0,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11017676395861932,0.2260226393180023,0.0,0.1494526806608083,0.0,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260226393180023,0.0,0.0,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19213989284377425,0.0,0.2260226393180023,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.19213989284377425,0.0,0.19213989284377425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19213989284377425,0.2260226393180023,0.0,0.2260226393180023,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12133533280257604,0.0,0.0,0.19213989284377425,0.0,0.1680997016383108,0.0,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19213989284377425,0.19213989284377425,0.0,0.2260226393180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proses check-in dan check-out sangat mulus dan cepat. Staf concierge sangat informatif dalam memberikan rekomendasi tempat wisata lokal. Pelayanan bintang lima!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.3710786004104047,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.21825807076770115,0.21278371067248522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1623249630519719,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.18553930020520235,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23433418646339943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18553930020520235,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21825807076770115,0.0,0.0,0.0
